num_utenti,metrica,richiesta,valore_medio
1,response_times,search_page,23.95
1,response_times,movie_detail,79.88
1,response_times,total,103.83
1,throughput,search_page,0.18
1,throughput,movie_detail,0.18
1,throughput,total,0.18
1,response_times,search_page,20.70
1,response_times,movie_detail,99.15
1,response_times,total,119.85
1,throughput,search_page,0.19
1,throughput,movie_detail,0.19
1,throughput,total,0.19
1,response_times,search_page,22.05
1,response_times,movie_detail,84.60
1,response_times,total,106.65
1,throughput,search_page,0.20
1,throughput,movie_detail,0.20
1,throughput,total,0.19
1,response_times,search_page,27.00
1,response_times,movie_detail,70.50
1,response_times,total,97.50
1,throughput,search_page,0.18
1,throughput,movie_detail,0.18
1,throughput,total,0.18
1,response_times,search_page,21.00
1,response_times,movie_detail,81.65
1,response_times,total,102.65
1,throughput,search_page,0.18
1,throughput,movie_detail,0.17
1,throughput,total,0.18
1,response_times,search_page,25.95
1,response_times,movie_detail,79.45
1,response_times,total,105.40
1,throughput,search_page,0.18
1,throughput,movie_detail,0.18
1,throughput,total,0.18
1,response_times,search_page,22.60
1,response_times,movie_detail,85.00
1,response_times,total,107.60
1,throughput,search_page,0.19
1,throughput,movie_detail,0.19
1,throughput,total,0.19
1,response_times,search_page,22.30
1,response_times,movie_detail,139.60
1,response_times,total,161.9
1,throughput,search_page,0.19
1,throughput,movie_detail,0.19
1,throughput,total,0.19
1,response_times,search_page,18.30
1,response_times,movie_detail,72.3
1,response_times,total,90.6
1,throughput,search_page,0.19
1,throughput,movie_detail,0.19
1,throughput,total,0.19
1,response_times,search_page,25.60
1,response_times,movie_detail,80.55
1,response_times,total,106.15
1,throughput,search_page,0.19
1,throughput,movie_detail,0.19
1,throughput,total,0.19
10,response_times,search_page,18.67
10,response_times,movie_detail,75.14
10,response_times,total,93.81
10,throughput,search_page,1.60
10,throughput,movie_detail,1.60
10,throughput,total,1.61
10,response_times,search_page,18.23
10,response_times,movie_detail,68.00
10,response_times,total,86.23
10,throughput,search_page,1.81
10,throughput,movie_detail,1.77
10,throughput,total,1.81
10,response_times,search_page,18.95
10,response_times,movie_detail,73.91
10,response_times,total,92.87
10,throughput,search_page,1.71
10,throughput,movie_detail,1.69
10,throughput,total,1.71
10,response_times,search_page,19.23
10,response_times,movie_detail,71.27
10,response_times,total,90.5
10,throughput,search_page,1.65
10,throughput,movie_detail,1.65
10,throughput,total,1.64
10,response_times,search_page,18.91
10,response_times,movie_detail,65.31
10,response_times,total,84.22
10,throughput,search_page,1.74
10,throughput,movie_detail,1.70
10,throughput,total,1.74
10,response_times,search_page,17.48
10,response_times,movie_detail,69.91
10,response_times,total,87.39
10,throughput,search_page,1.83
10,throughput,movie_detail,1.79
10,throughput,total,1.83
10,response_times,search_page,24
10,response_times,movie_detail,101.6
10,response_times,total,125.61
10,throughput,search_page,1.72
10,throughput,movie_detail,1.71
10,throughput,total,1.72
10,response_times,search_page,20.06
10,response_times,movie_detail,82.81
10,response_times,total,102.88
10,throughput,search_page,1.69
10,throughput,movie_detail,1.67
10,throughput,total,1.69
10,response_times,search_page,20.66
10,response_times,movie_detail,74.57
10,response_times,total,95.23
10,throughput,search_page,1.74
10,throughput,movie_detail,1.72
10,throughput,total,1.73
10,response_times,search_page,61.63
10,response_times,movie_detail,165.13
10,response_times,total,226.67
10,throughput,search_page,1.70
10,throughput,movie_detail,1.68
10,throughput,total,1.70
20,response_times,search_page,16.80
20,response_times,movie_detail,75.61
20,response_times,total,92.42
20,throughput,search_page,3.21
20,throughput,movie_detail,3.20
20,throughput,total,3.20
20,response_times,search_page,13.09
20,response_times,movie_detail,70.64
20,response_times,total,83.72
20,throughput,search_page,3.36
20,throughput,movie_detail,3.34
20,throughput,total,3.35
20,response_times,search_page,14.61
20,response_times,movie_detail,68.73
20,response_times,total,83.34
20,throughput,search_page,3.46
20,throughput,movie_detail,3.43
20,throughput,total,3.46
20,response_times,search_page,12.24
20,response_times,movie_detail,64.14
20,response_times,total,76.39
20,throughput,search_page,3.36
20,throughput,movie_detail,3.35
20,throughput,total,3.36
20,response_times,search_page,11.69
